Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,DateTime
1/2/2007,0:00:00,0.326,0.128,243.15,1.4,0,0,0,2/1/2007 0:00
1/2/2007,0:01:00,0.326,0.130,243.32,1.4,0,0,0,2/1/2007 0:01
1/2/2007,0:02:00,0.324,0.132,243.51,1.4,0,0,0,2/1/2007 0:02
1/2/2007,0:03:00,0.324,0.134,243.90,1.4,0,0,0,2/1/2007 0:03
1/2/2007,0:04:00,0.322,0.130,243.16,1.4,0,0,0,2/1/2007 0:04
1/2/2007,0:05:00,0.320,0.126,242.29,1.4,0,0,0,2/1/2007 0:05
1/2/2007,0:06:00,0.320,0.126,242.46,1.4,0,0,0,2/1/2007 0:06
1/2/2007,0:07:00,0.320,0.126,242.63,1.4,0,0,0,2/1/2007 0:07
1/2/2007,0:08:00,0.320,0.128,242.70,1.4,0,0,0,2/1/2007 0:08
1/2/2007,0:09:00,0.236,0.000,242.89,1.0,0,0,0,2/1/2007 0:09
1/2/2007,0:10:00,0.226,0.000,243.00,1.0,0,0,0,2/1/2007 0:10
1/2/2007,0:11:00,0.224,0.000,242.50,1.0,0,0,0,2/1/2007 0:11
1/2/2007,0:12:00,0.224,0.000,242.18,1.0,0,0,0,2/1/2007 0:12
1/2/2007,0:13:00,0.224,0.000,242.15,1.0,0,0,0,2/1/2007 0:13
1/2/2007,0:14:00,0.224,0.000,242.73,1.0,0,0,0,2/1/2007 0:14
1/2/2007,0:15:00,0.260,0.000,242.85,1.2,0,0,0,2/1/2007 0:15
1/2/2007,0:16:00,0.304,0.096,242.89,1.2,0,0,0,2/1/2007 0:16
1/2/2007,0:17:00,0.302,0.096,242.87,1.2,0,0,0,2/1/2007 0:17
1/2/2007,0:18:00,0.302,0.094,242.19,1.2,0,0,0,2/1/2007 0:18
1/2/2007,0:19:00,0.300,0.094,242.23,1.2,0,0,0,2/1/2007 0:19
1/2/2007,0:20:00,0.300,0.094,242.16,1.2,0,0,0,2/1/2007 0:20
1/2/2007,0:21:00,0.298,0.094,242.29,1.2,0,0,0,2/1/2007 0:21
1/2/2007,0:22:00,0.298,0.094,242.47,1.2,0,0,0,2/1/2007 0:22
1/2/2007,0:23:00,0.296,0.094,242.32,1.2,0,0,0,2/1/2007 0:23
1/2/2007,0:24:00,0.296,0.096,242.98,1.2,0,0,0,2/1/2007 0:24
1/2/2007,0:25:00,0.298,0.100,243.65,1.2,0,0,0,2/1/2007 0:25
1/2/2007,0:26:00,0.228,0.000,243.55,1.0,0,0,0,2/1/2007 0:26
1/2/2007,0:27:00,0.226,0.000,243.11,1.0,0,0,0,2/1/2007 0:27
1/2/2007,0:28:00,0.226,0.000,243.09,1.0,0,0,0,2/1/2007 0:28
1/2/2007,0:29:00,0.226,0.000,243.05,1.0,0,0,0,2/1/2007 0:29
1/2/2007,0:30:00,0.226,0.000,243.22,1.0,0,0,0,2/1/2007 0:30
1/2/2007,0:31:00,0.226,0.000,243.37,1.0,0,0,0,2/1/2007 0:31
